Quelle est ce minéral ?;pyrite;or;gypse;gabbro;p;pyrite
Laquelle de ces roches n'a pas la formule chimique suivante : Al2SiO5 ?;éclogite;sillimanite;disthène;andalousite;'';''
Quel minéral d'un couleur rose laiteuse forme souvent des macles de Carlsbad ?;orthose;augite;albite;labradorite;'';''
Lequels de ces minéraux est le plus bas sur l'échelle de Mohs ?;Talc;Gypse;Diamant;Fluorine;'';''
Lequel des ces quatre minéraux cristallise en premier (donc à température la plus haute) ?;olivine;pyroxène;mica;quartz;'';''
Dans quel environnement de dépôt trouve-t-on souvent des brèches ?;sous une falaise;au fond d'un océan;au niveau d'un delta;dans un désert;'';''
Quelle roche ne fait généralement pas partie de la séquence ophiolithique ?;andésite;gabbro;basalte;péridotite;'';''
En dessous de quelle distance (en mètres) sous-marine une roche calcaire ne peut "normalement" pas se former ?;4'000;3'000;1'500;2'500;'';''
Dans quel environnement se forme le glaucophane ?;subduction;hot-spot;ride médio-océanique;manteau;'';''
Quel faciès est typique d'un métamorphisme de contact ?;hornfels;schistes bleus;schistes verts;amphibolites;'';''
Comment appelle-t-on une déformation avec conservation de la surface ?;cisaillement pur;cisaillement simple;élongation;non-coaxiale;'';''
Quelle est la meilleure méthode pour quantifier la déformation d'objets initialement ovales/elliptiques ?;Rf/ϕ;centres-à-centres;Wellman;Fry;'';''
Laquelle de ces fractures n'est pas dite "en extension" ?;stylolite;fissure;filon;veine;'';''
Lequels de changement n'abouti pas à une rupture ?;diminution de la contrainte maximale;diminution de la contrainte minimale;augmentation de la pression de fluide;augmentation de la contrainte maximale;'';''