Qui a donné la célèbre allocution "I have a dream" ?;Martin Luther King;Nelson Mandela;Winston Churchill;Abraham Lincoln;
Qui aurait dit cette phrase : "Toi aussi mon fils" ?;Jules César;Alexandre le Grand;Napoléon Bonaparte;Louis XIV;
Qui a dit : "Ich bin ein Berliner" pour montrer sa solidarité aux habitants de Berlin ?;John Fitzgerald Kennedy;John Lennon;Charles de Gaulle;La reine Elisabrth II;
Qui a dit "Et pourtant elle tourne" ?;Galilée;de Vinci;Copernic;Newton;
Qui a dit : "Cogito, ergo sum" ("Je pense donc je suis") ?;Descartes;Rousseau;Voltaire;Diderot;
Qui est à l'origine de la célèbre maxime : "Il n'y a point de pires sourds que ceux qui ne veulent pas entendre" ?;Molière;La Fontaine;Corneille;Racine;
Qui a rédigé le célèbre article "J'accuse" qui traite de l'affaire Dreyfus ?;Emile Zola;Arthur Rimbaud;Honoré de Balzac;Guy de Mautpassant;
De qui est cette citation : "Tel est pris qui croyait prendre"?;La Fontaine;Corneille;Molière;Racine;
Qui a dit : "Le courage n'est pas l'absence de peur, mais la capacité de la vaincre" ?;Nelson Mandela;Gandhi;Winston Churchill;Théodore Roosvelt;
De quel film provient la phrase "J'aime l'odeur du napalm au petit matin" ?;Apocalypse Now;Full Metal Jacket;Il faut sauver le soldat Ryan;Le jour le plus long;
Qui a dit : "On reconnaît le degré de civilisation d'un peuple à la manière dont il traite ses animaux." ?;Mohandas Gandhi;Kim Jong-un;Albert Einstein;Charles Darwin;