Quel roi se figurait être le soleil sur Terre?;Louis XIV;Henri III;Georges V;Louis XVI; 
En quelle année s'est déroulé le Printemps des Peuples ?;1848;1852;1832;1870;
En quelle année a été construit le mur de Berlin ?;1961;1962;1948;1966; 
En quelle année a été construite la tour Eiffel ?;1889;1900;1907;1885;
Quels sont les auteurs du Manifeste du parti communiste ?;Karl Marx et Friedrich Engels;Karl Marx et Georg Hegel;Karl Marx et Emmanuel Kant;Goscinny et Uderzo;
Combien de temps Louis XIX a-t-il regné ?;20 minutes;3 heures;48 heures;5 jours;
Quel.le chef.fe fut à la tête de l'empire le plus grand de l'Histoire (33 millions de km carrés) ?;Kubilaï Khan;Gengis Khan;Victoria;Elizabeth II;
Quand le Titanic a-t-il sombré ?;14 avril 1912;14 juillet 1911;27 avril 1910;27 juillet 1913;
Quand la guerre de Sécession a-t-elle eu lieu ?;1861-1865;1827-1831;1779-1885;1811-1813;
Quel est le premier livre a avoir été imprimé ?;La Bible;L'encyclopédie;La biographie de Louis XIV;Les Misérables;
Qui était "le Grand Timonier" ?;Mao Zedong;Benito Mussolini;Augusto Pinochet;Hô Chi Minh;
De combien d'années le fossile de Lucy, découvert en Éthiopie en 1974, est-t-il daté ?;3,18 millions;26 millions;400 mille;8;
Où l'Association internationales des travailleurs a-t-elle été fondée ?;Londres;Paris;Francfort;Bruxelles
Quand est-ce que les hommes sont allés pour la première fois sur la lune ?;21 juillet 1969;26 juin 1970;20 septembre 1969;25 mai 1970;
Qui est Katherine Johnson ?;Mathématicienne qui a calculé la trajectoire d'Apollo 11;Une chanteuse de country;Une célèbre actrice;Une apprentie de Marie Curie;
De quoi avait peur les personnes en 1999 ?;Qu'en 2000 les ordinateurs 'bug';Qu'un tremblement de terre raye New-York de la carte;Qu'un astéroïde n'heurte la terre;Que l'Angleterre quitte l'Europe;
Dans quelle ville est mort le président américain Kennedy ?;Dallas;Washigton;San Francisco;New York;
Qu'a fait Amélia Earhart ?;Elle a traversé l'Atlantique en avion;Elle a milité pour les droits de la femme;Elle a oeuvré dans la résistance;Elle a gagné les jeux olympiques de natation;
Qui est à l'origine du mouvement du boycott des bus en Alabama en 1956 ?;Rosa Parks;Martin Luther King;Edgar Nixon;Nina Simone;
Qui est la première personne a être allée dans l'espace ?;Youri Gargarine;Buzz Aldrin;Michel Collins;Alexei Leonov;