Que signifie "Van" dans "Creux-du-Van" ?;Rocher;Combe;Vent;Chamois;
Lequel de ces cantons est le plus étendu ?;Jura;Neuchâtel;Genève;Soleure;
Lequel des ces écrivains n'est pas genevois ?;Paul Budry;Jean-Jaqcques Rousseau;Joël Dicker;Ferdinand De Saussure;
En quelle année eut lieu la guerre du Sonderbund ?;1847;1848;1849;1851;
En quelle année fut indroduit le suffrage féminin au niveau fédéral?;1971;1945;1963;1993;
Quel basketteur joue actuellement aux Hawks d'Atlanta ?;Clint Capela;Thabo Sefolosha;Alain Berset;Dennis Schröder;
De qui Yann Sommer a-t-il arrêté le penalty décisif lors du huitième de finale de l'Euro 2021 ?;Kylian Mbappe;Antoine Griezmann;Karim Benzema;Zinédine Zidane;
Quelle est la devise nationale suisse ?;Un pour tous tous pour un;Citius - Altius - Fortius;Post tenebras lux;Liberté - Egalité - Fraternité;
Quel sont les cantons fondateurs de la Suisse ?;Uri Schwitz Unterwald;Berne Genève Zürich;Genève Neuchâtel Uri;Schwitz Zürich Neuchâtel;
Laquelle de ces associations est fausse ?;Berne-Pont;Neuchâtel-Tours des Prisons;Lucerne-Lion;Genève-Jet d'eau;
Laquelle de ces villes n'a pas de surnom ?;Neuchâtel;Genève;Chaux-de-Fonds;Lausanne;
Comment s'appelle cette montagne ?;Jungfrau;Eiger;Mönch;Cervin;jungfrau.jpg
Quel Suisse a inventé le chocolat au lait ?;Daniel Peter;Rodolphe Lindt;François-Louis Cailler;Philippe Suchard;