Laquelle de ces compétitions n'existe pas ?;par limitation;par exploitation;par interférence;apparente;'';''
Comment appelle-t-on le phénomène de déplacement d'air vers le haut à la rencontre d'un relief ?;soulevement orographique;courant montagnard ascendant;cellule de Hadley;ascendance aérienne;'';''
Lequel des ces étages de végétation se situe entre 1800 et 2400 mètres ?;subalpin;nival;collinéen;montagnard;'';''
Comment appelle-t-on les facteurs abiotiques relatifs aux sols ?;édaphiques;éphatiques;édiphatiques;pédophatiques;'';''
Que signifie le R dans la théorie des stratégies CSR ?;rudérales;résistantes;racinaires;rabélaires;'';''
Comment appelle-t-on le phénomène de coloration particulière de la peau des animaux "toxiques" ?;aposématisme;holomimétisme;hastopatisme;toxocolorisme;'';''
Qui est l'inventeur du concept "d'écologie" ?;Ernst Haeckel;Vassili Dokoutchaïev;Jules Thurmann;Alexander von Humboldt;'';''
Lequel des facteurs suivants n'est pas abiotique ?;prédateurs;eau;pH;lumière;'';''
Comment apelle-t-on les animaux dont la température du corps dépend presque entièrement de l'environnement extérieur ?;ectothermes;endothermes;poïkilothermes;homéothermes;'';''
Comment appelle-t-on l'ensemble des espèces voisines exploitant une même catégorie de ressources ?;guilde;corporation;niche;interférence;'';''
Comment appelle-t-on l'ensemble des habitats d'une espèce ?;distribution;répartition;territoire;emplacement;'';''
La relation entre le nombre d'espèces et leur abondance relative suit généralement une distribution ?;gaussienne (loi normale);linéaire;exponentielle;logarithmique;'';'